val_accuracy,train_accuracy,shape3,shape2,shape1,l2_reg,activation_function,batch_size,learning_rate,epochs
96.65150642,99.56105947,0,770,1000,0.0001,tanh,2048,5.00E-05,800
96.64002657,97.94855118,0,770,1000,0,tanh,512,0.0001,800
96.56423926,98.65992665,0,770,1000,0,tanh,512,5.00E-05,800
96.55504823,99.37675595,0,1000,1000,0,tanh,2048,5.00E-05,800
96.54586315,99.24814701,0,770,1000,0,tanh,2048,5.00E-05,800
96.52978778,98.35447669,0,770,1000,0,tanh,512,5.00E-05,800
96.51600718,99.25560951,0,771,1000,0.0001,tanh,2048,5.00E-05,800
96.488446,99.16030169,0,500,1000,0.0001,tanh,2048,5.00E-05,800
96.4815557,99.44565296,0,770,770,0.0001,tanh,2048,5.00E-05,800
96.43562436,99.43245053,0,1000,1000,0.0001,tanh,2048,5.00E-05,800
96.41265869,99.5739758,0,770,1000,0,tanh,512,2.50E-05,800
96.41265869,97.67439365,0,770,1250,0,tanh,512,0.0001,800
96.3988781,98.31371307,0,770,1000,0,tanh,256,5.00E-05,800
96.33227587,99.12154675,0,770,1000,0.00015,tanh,2048,5.00E-05,800
96.2955296,98.83618951,0,300,770,0.0001,tanh,2048,5.00E-05,800
96.26796842,99.24211502,0,770,1000,0.0001,tanh,2048,5.00E-05,800
96.24730349,98.92863035,0,770,1000,0,tanh,2048,5.00E-05,800
96.2197423,97.88223505,0,300,800,0,tanh,512,5.00E-05,800
96.20136619,97.54463434,0,1000,1000,0,tanh,512,0.0001,800
96.18988633,99.20278788,0,770,770,0,tanh,2048,5.00E-05,800
96.17151022,97.24607468,0,770,2000,0,tanh,512,0.0001,800
96.16003036,97.58051634,0,770,400,0,tanh,512,0.0001,800
96.14395499,97.75879383,0,300,800,0.0001,tanh,512,5.00E-05,800
96.10031843,97.95802236,0,770,1000,0.0001,tanh,512,5.00E-05,800
96.06127143,97.27535248,0,770,1000,0,tanh,512,0.0001,1000
96.0474968,97.88166285,0,300,800,0,tanh,1024,5.00E-05,800
96.01993561,97.99849987,5,770,1000,0,tanh,512,5.00E-05,800
95.99007964,97.20157385,0,770,1000,0,tanh,512,0.0001,500
95.94644308,97.00837135,0,770,1000,0.0001,tanh,2048,0.0001,800
95.92117667,98.08462262,0,300,800,0,tanh,2048,5.00E-05,800
