val_accuracy,train_accuracy,shape3,shape2,shape1,l2_reg,activation_function,batch_size,learning_rate,epochs
89.78865147,97.95309305,10,30,100,0.0003,relu,32,0.0005,800
89.50149417,98.44400287,0,800,1000,0.01,relu,56,5.00E-05,800
89.49000835,99.35549498,0,800,800,0.01,relu,56,5.00E-05,800
89.29473758,99.17894006,0,400,1000,0.01,relu,56,5.00E-05,800
89.20285106,96.9569087,10,800,1000,0.01,relu,56,5.00E-05,800
88.66299391,95.93345523,10,200,100,0.0003,relu,32,0.0005,800
88.6285305,96.44302726,10,31,100,0.0003,relu,32,0.0005,800
88.45623732,99.22774434,0,200,1000,0.01,relu,56,5.00E-05,800
88.29542994,93.41142178,10,30,1000,0.0003,relu,32,0.0005,800
88.24948072,97.38897085,10,30,100,0.0003,relu,256,0.0005,800
88.10015917,97.85404801,0,800,400,0.01,relu,56,5.00E-05,800
88.06570172,96.38848305,0,1000,1000,0.01,relu,56,5.00E-05,800
87.91638017,97.21384645,0,800,1000,0.011,relu,128,5.00E-05,800
86.89409494,92.55303741,3,30,100,0.0003,relu,32,0.0005,800
86.88260913,92.59322882,10,31,100,0.01,relu,32,0.0005,800
86.22788787,95.1669395,0,800,1000,0.01,relu,128,5.00E-05,800
86.00965142,96.56503797,0,30,100,0.0003,relu,32,0.0005,800
85.92924476,96.13010883,0,800,1000,0.02,relu,128,5.00E-05,800
85.89478731,94.80808377,0,800,1000,0.05,relu,128,5.00E-05,800
85.36641598,95.92770934,0,30,100,0.0001,relu,32,0.0005,800
85.0677669,94.02865171,0,800,1000,0.01,relu,128,5.00E-05,800
85.02182364,95.78990936,0,31,100,0.0003,relu,32,0.0005,800
83.85021687,93.26787591,0,1000,1500,0,relu,128,5.00E-05,800
83.63198042,92.35925674,0,800,1000,0,relu,128,5.00E-05,800
83.20698142,93.09132099,0,800,1000,0,relu,128,5.00E-05,800
81.95497394,89.60325122,0,30,100,0,relu,32,0.0005,800
80.58810234,91.21522903,0,350,700,0,relu,128,5.00E-05,800
80.26648164,93.99420023,0,30,100,0.0001,relu,32,5.00E-05,800
79.69216704,83.73094201,10,800,100,0.0003,relu,32,0.0005,800
75.66046119,81.3610673,0,30,100,0.01,relu,32,0.0005,800
72.83482552,75.84761381,10,31,1000,0.0003,relu,32,0.0005,800
70.82471848,76.3858974,10,30,100,0.0003,relu,512,0.0005,800
62.84171939,68.03318858,10,30,300,0.0003,relu,32,0.0005,800
62.30186224,70.78632116,0,30,100,0.0001,relu,32,5.00E-06,800
56.15667105,98.67941141,0,800,900,0,tanh,2048,5.00E-05,800
55.92694879,99.05261993,0,800,1000,0,tanh,2048,5.00E-05,800
55.72019219,99.10860658,0,800,1000,0,tanh,2048,5.00E-05,800
55.31817079,99.04257655,0,800,1000,0,tanh,2048,5.00E-05,800
54.58304882,53.81678343,10,800,100,0.0003,relu,32,0.0005,800
53.98575664,66.99393988,0,50,50,0,tanh,2048,5.00E-05,800
